,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
257,815236,0.0,0.0,0.0,3.0,3.0,1,42,She's Out of My League,2010,2
258,1186367,0.0,0.0,0.0,2.0,3.0,3,66,Ninja Assassin,2009,2
259,881891,0.0,0.0,0.0,2.0,1.0,2,20,All About Steve,2009,1
260,1606378,1.0,0.0,0.0,3.0,2.0,1,20,A Good Day to Die Hard,2013,2
261,1263670,0.0,0.0,0.0,0.0,3.0,0,21,Crazy Heart,2009,2
262,1204975,0.0,0.0,0.0,3.0,3.0,3,12,Last Vegas,2013,1
263,1204977,0.0,0.0,0.0,3.0,1.0,3,61,Ouija,2014,1
264,1616195,0.0,0.0,0.0,2.0,3.0,3,66,J. Edgar,2011,2
265,1430132,1.0,0.0,1.0,4.0,3.0,2,20,The Wolverine,2013,1
266,1559547,0.0,0.0,0.0,3.0,2.0,1,66,Beautiful Creatures ,2013,1
267,1840309,0.0,1.0,1.0,4.0,3.0,1,27,Divergent,2014,1
268,2975578,0.0,0.0,0.0,3.0,3.0,2,61,The Purge: Anarchy,2014,2
269,2870708,0.0,0.0,0.0,0.0,3.0,2,19,Wish I Was Here,2014,2
270,2243537,0.0,0.0,0.0,2.0,2.0,1,35,A Haunted House,2013,2
271,1262981,0.0,0.0,0.0,0.0,3.0,2,32,World's Greatest Dad,2009,2
272,1502404,0.0,0.0,0.0,2.0,2.0,1,57,Drive Angry,2011,2
273,1192628,1.0,0.0,1.0,4.0,3.0,1,42,Rango,2011,0
274,1907668,0.0,0.0,0.0,2.0,3.0,3,42,Flight,2012,2
275,1155076,0.0,1.0,1.0,4.0,2.0,2,56,The Karate Kid,2010,0
276,2034139,0.0,0.0,0.0,3.0,1.0,1,12,The Last Exorcism Part II,2013,1
277,1723811,0.0,0.0,0.0,0.0,3.0,0,21,Shame,2011,2
278,3125324,0.0,0.0,0.0,2.0,3.0,3,49,Beyond the Lights,2014,1
279,1093357,0.0,0.0,0.0,2.0,1.0,0,57,The Darkest Hour,2011,1
280,1325004,0.0,2.0,1.0,4.0,1.0,2,57,The Twilight Saga: Eclipse,2010,1
281,1596350,0.0,0.0,0.0,3.0,3.0,1,20,This Means War,2012,2
282,1424381,0.0,0.0,0.0,2.0,3.0,2,20,Predators,2010,2
283,2305051,0.0,0.0,0.0,0.0,3.0,0,21,Wild ,2014,2
284,1629757,0.0,0.0,0.0,2.0,3.0,3,20,Chasing Mavericks,2012,0
285,1742334,0.0,0.0,0.0,2.0,2.0,1,35,Sabotage ,2014,2
286,1800741,0.0,0.0,0.0,2.0,3.0,2,27,Step Up Revolution,2012,1
287,1210071,0.0,0.0,0.0,0.0,2.0,3,59,Janky Promoters,2009,2
288,1462758,0.0,0.0,0.0,0.0,3.0,2,28,Buried,2010,2
289,1273678,0.0,0.0,0.0,3.0,2.0,1,28,The Spy Next Door,2010,0
290,1020558,0.0,0.0,0.0,0.0,3.0,2,32,Centurion,2010,2
291,1911658,1.0,0.0,0.0,4.0,3.0,3,20,Penguins of Madagascar,2014,0
292,1712170,0.0,0.0,0.0,2.0,2.0,3,27,Alex Cross,2012,1
293,2039393,0.0,0.0,0.0,2.0,2.0,0,42,The Gambler,2014,2
294,1142988,0.0,0.0,0.0,3.0,3.0,2,56,The Ugly Truth,2009,2
295,1657507,0.0,0.0,0.0,2.0,3.0,2,60,Colombiana,2011,1
296,2294449,0.0,1.0,1.0,3.0,3.0,2,56,22 Jump Street,2014,2
297,398286,3.0,1.0,1.0,4.0,4.0,3,11,Tangled,2010,0
298,945513,0.0,0.0,0.0,3.0,3.0,1,57,Source Code,2011,1
299,1220220,0.0,0.0,0.0,0.0,1.0,3,22,Motherhood,2009,1
300,1206543,0.0,0.0,0.0,2.0,3.0,0,49,Out of the Furnace,2013,2
301,1859650,0.0,0.0,0.0,0.0,3.0,2,53,To Rome with Love,2012,2
302,1764651,1.0,0.0,0.0,3.0,3.0,2,28,The Expendables 2,2012,2
303,2193215,0.0,0.0,0.0,3.0,2.0,3,20,The Counselor,2013,2
304,1385867,0.0,0.0,0.0,3.0,2.0,1,66,Cop Out,2010,2
305,954947,0.0,0.0,0.0,0.0,2.0,2,24,The Killer Inside Me,2010,2
306,2980648,0.0,0.0,0.0,2.0,3.0,2,11,The Hundred-Foot Journey,2014,0
307,2109248,2.0,1.0,2.0,4.0,2.0,2,42,Transformers: Age of Extinction,2014,1
308,2179136,0.0,2.0,0.0,0.0,3.0,0,66,American Sniper,2014,2
309,3322940,0.0,0.0,0.0,0.0,2.0,2,62,Anna,2014,2
310,1389137,0.0,0.0,0.0,3.0,3.0,0,20,We Bought a Zoo,2011,0
311,1411704,0.0,0.0,1.0,4.0,2.0,1,61,Hop,2011,0
312,1731141,1.0,0.0,0.0,3.0,3.0,3,27,Ender's Game,2013,1
313,1720182,0.0,0.0,0.0,0.0,3.0,3,1,October Baby,2011,1
